compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity,lab,batch_id,experiment_temp,pH,exposure_time_hr,assay_type,assay_result,passed_threshold,multi_assay_success
CMPD_001,255.52757576823385,3.812143978324421,0,8,8,17.95948095779169,LabX,BATCH_017,25.665438659170377,8.350529283313929,4.378621084188922,in_vitro,1.6757705728971186,False,0
CMPD_001,255.52757576823385,3.812143978324421,0,8,8,17.95948095779169,LabX,BATCH_017,25.665438659170377,8.350529283313929,4.378621084188922,in_vivo,6.23932623632485,True,0
CMPD_001,255.52757576823385,3.812143978324421,0,8,8,17.95948095779169,LabX,BATCH_017,25.665438659170377,8.350529283313929,4.378621084188922,toxicity,3.6000693279189333,False,0
CMPD_002,288.7219284025926,2.787411117749647,1,7,8,17.586159518631913,LabZ,BATCH_041,22.33370398304558,7.9646083844389315,9.174324355533718,in_vitro,4.552393897898074,True,0
CMPD_002,288.7219284025926,2.787411117749647,1,7,8,17.586159518631913,LabZ,BATCH_041,22.33370398304558,7.9646083844389315,9.174324355533718,in_vivo,2.483960177467325,False,0
CMPD_002,288.7219284025926,2.787411117749647,1,7,8,17.586159518631913,LabZ,BATCH_041,22.33370398304558,7.9646083844389315,9.174324355533718,toxicity,6.75827664807908,True,0
CMPD_003,249.72176942702697,2.59591103873492,2,3,0,14.034603287489505,LabZ,BATCH_096,26.098859014871525,7.177602339854226,5.0394087080640535,in_vitro,4.912149734089756,True,1
CMPD_003,249.72176942702697,2.59591103873492,2,3,0,14.034603287489505,LabZ,BATCH_096,26.098859014871525,7.177602339854226,5.0394087080640535,in_vivo,7.174907101388332,True,1
CMPD_003,249.72176942702697,2.59591103873492,2,3,0,14.034603287489505,LabZ,BATCH_096,26.098859014871525,7.177602339854226,5.0394087080640535,toxicity,5.350490388065122,True,1
CMPD_004,303.25237420058704,4.091297179534944,3,4,1,17.72532396344242,LabZ,BATCH_019,23.679943702178512,7.5667897830136095,12.831288981162244,in_vitro,1.13675204564625,False,0
CMPD_004,303.25237420058704,4.091297179534944,3,4,1,17.72532396344242,LabZ,BATCH_019,23.679943702178512,7.5667897830136095,12.831288981162244,in_vivo,7.193085591950428,True,0
CMPD_004,303.25237420058704,4.091297179534944,3,4,1,17.72532396344242,LabZ,BATCH_019,23.679943702178512,7.5667897830136095,12.831288981162244,toxicity,0.973998735380639,False,0
CMPD_005,241.81783775574377,2.510350848481585,4,6,7,15.191403242127022,LabY,BATCH_081,23.756809148897148,6.691087749129533,16.153933339206507,in_vitro,1.2601946341671757,False,0
CMPD_005,241.81783775574377,2.510350848481585,4,6,7,15.191403242127022,LabY,BATCH_081,23.756809148897148,6.691087749129533,16.153933339206507,in_vivo,3.165594639736727,False,0
