compound_id,mol_weight,logP,num_h_donors,num_h_acceptors,rotatable_bonds,bioactivity
CMPD_001,222.7835365480674,3.2800185437967118,1,5,1,13.990997592147295
CMPD_002,292.3686967258335,3.7748497091555024,0,5,11,18.948301801535003
CMPD_003,306.4035905783943,3.537960267129743,5,8,8,18.42119564293683
CMPD_004,324.86128305659753,2.6949642762928114,1,3,0,17.949819956775205
CMPD_005,346.828493972972,4.015933991267415,4,5,11,21.976733812537862
CMPD_006,361.0509810409773,4.172901633681435,3,3,9,20.15606232935946
CMPD_007,337.3880202936895,3.868626266471599,4,0,8,18.00833200154385
CMPD_008,283.13729024087417,2.954194402685896,3,6,3,18.982966526549692
CMPD_009,290.8558773144678,3.18158677513833,3,9,8,18.06296656485988
CMPD_010,322.1674641313105,2.571140069321144,4,5,6,18.765300113194193
CMPD_011,315.58843379543407,4.298024245697778,4,8,10,19.1286946684308
CMPD_012,348.85037878174086,3.321630718370486,1,6,5,21.59394778157271
CMPD_013,374.38168256129734,4.6666446608248915,5,6,4,21.833393189043374
CMPD_014,368.0154058529467,4.477615015453889,5,1,10,20.11977280685003
CMPD_015,344.81814599395034,3.0482867918155283,4,8,8,22.21645717071466
CMPD_016,315.8370794682869,3.145866130298493,1,9,1,21.091112604714016
CMPD_017,340.47975188837535,3.73309517117356,5,8,10,21.0031089406436
CMPD_018,349.8432304118519,2.622728948066865,1,5,11,22.389763711723997
CMPD_019,295.58098808234945,3.2808704413107193,1,2,1,19.507038444893208
CMPD_020,284.0201708247372,3.230920499396636,3,0,10,17.639820873912253
CMPD_021,276.97736999784973,4.4255829709733545,5,3,11,18.069014616181136
CMPD_022,273.7084579966409,3.580508942752228,5,2,8,16.44877975051714
CMPD_023,258.54014032220425,3.357616511231402,3,0,11,16.462597589954573
CMPD_024,307.49705127353184,3.1842576336573494,4,2,2,16.958339277112835
CMPD_025,270.00741596735605,3.947024798662397,3,3,7,16.781354768136275
CMPD_026,276.49433447593856,3.2516445880347957,5,7,10,17.77692376943728
CMPD_027,321.03766677530183,3.47485851281875,5,8,8,19.257905278860566
CMPD_028,305.44827198760527,3.180438238764018,4,2,7,17.350964517597976
CMPD_029,312.8887482190102,2.741231433992303,3,5,3,18.23760922277933
CMPD_030,340.95446285676246,3.001982436148668,0,9,11,23.49991664235013
CMPD_031,325.9358972562239,3.2490141463176534,0,4,0,18.56334242630567
CMPD_032,345.5665974435799,3.3683725848681854,4,5,3,20.83220644277881
CMPD_033,302.3992948433421,3.390288037038246,3,3,8,19.12399158460118
CMPD_034,348.35371773937186,3.455540149740619,3,9,1,21.967930016057903
CMPD_035,310.7921029307238,3.2556561849244954,1,5,2,18.237383714266294
CMPD_036,305.0611878328561,4.174563174084203,5,6,9,17.500028315399227
CMPD_037,343.8457861882951,3.973992059928491,2,8,7,22.63118342976897
CMPD_038,273.8353896242011,3.432445366404581,4,9,5,17.725264558747686
CMPD_039,360.70801702627426,3.6271291398704983,2,6,7,23.241480797973242
CMPD_040,291.53699939888145,3.3139558792735224,2,5,6,17.527477845353353
CMPD_041,263.45676085352034,2.078257353974112,4,0,4,14.795562302111671
CMPD_042,319.6050585616759,3.5102465064630124,3,1,8,19.942862245473616
CMPD_043,288.6803546964522,3.652807180625608,4,0,3,16.360953758273748
CMPD_044,360.7742127573375,2.6936691209798864,2,8,5,22.110575437915603
CMPD_045,287.0129754364456,3.749705534597301,5,9,1,18.132379657024217
CMPD_046,309.43346752055885,3.359711661027595,5,9,1,17.737973175820375
CMPD_047,257.2322005356569,3.668966860317331,5,8,1,16.527880117321317
CMPD_048,324.38742734692414,3.374800676314957,3,6,9,21.74171024929919
CMPD_049,276.67829772423283,4.125477237113424,0,1,6,17.956500610445023
CMPD_050,320.79974070997804,3.6131144102920434,4,5,1,17.369553625080883
CMPD_051,287.1496428088241,4.001208229336004,5,3,11,17.071222192996004
